scenario,n_dead_oaks,percent_dead_oaks,infected_area_ha,money_spent,area_treated_ha,price_per_oak
baseline,56784,5.898,3417,0,0,0
scen2,52725,5.477,3294,382036,35,94.12071939
RS_1,58037,6.028,3407,796705,59,-635.8379888
RS_2,33571,3.487,2555,1841047,104,79.31103261
RS_3,46111,4.79,2762,1176461,61,110.227771
FM_1,54688,5.68,3485,379015,62,180.8277672
FM_2,53257,5.532,3480,604700,59,171.4488234
FM_3,47640,4.948,3028,5879199,463,642.957021
LO_1,54710,5.683,3203,624835,55,301.2704918
LO_2,56317,5.85,3426,609931,52,1306.062099
LO_3,54093,5.619,3252,467095,58,173.5767373
FM_4,57106,5.932,3345,554250,62,-1721.273292
FM_4_2,57106,5.932,3345,554250,62,-1721.273292
EN_1,39912,4.146,2742,694901,62,41.18664059
MP_1,51515,5.351,3258,568524,61,107.8997912
MP_2,47026,4.885,3072,577753,60,59.20813691
MP_3,45634,4.74,2980,824715,62,73.96547085
MP_4,46207,4.8,3093,817210,62,77.262929
